Absolute URL,Name,ID,Ingredients
https://www.traderjoes.com/home/products/pdp/chicken-broth-concentrate-090859,Chicken Broth Concentrate,chicken-broth-concentrate-090859,"CHICKEN BROTH (WATER, DRIED CHICKEN BROTH), MALTODEXTRIN, SALT, CHICKEN FAT (CHICKEN FAT, ROSEMARY EXTRACT), SUGAR, YEAST EXTRACT, WATER, NATURAL FLAVORS, XANTHAN GUM, DRIED CHICKEN."
https://www.traderjoes.com/home/products/pdp/tropical-smoothie-blend-082433,Tropical Smoothie Blend,tropical-smoothie-blend-082433,"PINEAPPLE, MANGO, COCONUT CREAM (COCONUT, WATER), BANANA, MANGO PUREE, AGAVE SYRUP, PASSION FRUIT PUREE, WATER, CITRIC ACID AND ASCORBIC ACID (TO MAINTAIN COLOR)."
https://www.traderjoes.com/home/products/pdp/spaghetti-with-meat-sauce-082148,Spaghetti with Meat & Sauce,spaghetti-with-meat-sauce-082148,"COOKED PASTA (WATER, DURUM WHEAT SEMOLINA), WATER, COOKED BEEF, CRUSHED TOMATOES, COOKED PORK, DICED TOMATOES IN JUICE (TOMATOES, TOMATO JUICE, CITRIC ACID [ACIDIFIER], CALCIUM CHLORIDE), ONIONS, DISTILLED WHITE VINEGAR, MODIFIED CORNSTARCH, SALT, SPICES, GARLIC, SUGAR, ROMANO CHEESE MADE FROM COW'S MILK (PASTEURIZED MILK, SALT, CHEESE CULTURES, MICROBIAL ENZYME, CALCIUM CHLORIDE, LIPASE), DEHYDRATED ONION, DEHYDRATED GARLIC, YEAST EXTRACT.
CONTAINS MILK, WHEAT."
https://www.traderjoes.com/home/products/pdp/baladi-egyptian-sourdough-pocket-bread-078015,Baladi Egyptian Sourdough Pocket Bread,baladi-egyptian-sourdough-pocket-bread-078015,"WHEAT FLOUR
WATER
WHEAT BRAN
SOURDOUGH CULTURE (DRIED SOURDOUGH [CULTURED WHEAT FLOUR, CULTURED RYE FLOUR], YEAST, ASCORBIC ACID [DOUGH CONDITIONER] ENZYME)
SALT
CONTAINS WHEAT."
https://www.traderjoes.com/home/products/pdp/3-cheese-spinach-artichoke-pasta-081869,3 Cheese Spinach & Artichoke Pasta,3-cheese-spinach-artichoke-pasta-081869,"COOKED ORECCHIETTE PASTA (WATER, ENRICHED MACARONI PRODUCT [DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID]), REDUCED FAT MILK (REDUCED FAT MILK, SKIM MILK, VITAMIN A PALMITATE, VITAMIN D3), SHREDDED CHEESE BLEND (PARMESAN CHEESE [PART SKIM MILK, CHEESE CULTURES, SALT, MICROBIAL ENZYME], LOW-MOISTURE PART-SKIM MOZZARELLA CHEESE [PART SKIM MILK, CHEESE CULTURES, SALT, MICROBIAL ENZYME], SWISS CHEESE [PART SKIM MILK, CHEESE CULTURES, SALT, MICROBIAL ENZYME], POWDERED CELLULOSE [ANTI-CAKING AGENT]), ARTICHOKE, SPINACH, SOUR CREAM (CULTURED CREAM), UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), LEMON JUICE, BUTTER (CREAM, SALT), SALT, ONION, GARLIC, CAYENNE PEPPER, WHITE PEPPER.
CONTAINS MILK, WHEAT."
https://www.traderjoes.com/home/products/pdp/mini-sonora-style-tortillas-073856,Mini Sonora Style Tortillas,mini-sonora-style-tortillas-073856,"WHEAT FLOUR, WATER, WHITE WHOLE WHEAT FLOUR, SUNFLOWER OIL, CONTAINS 2% OR LESS OF SUGAR, SALT, CULTURED SUGAR (TO PRESERVE), DISTILLED WHITE VINEGAR, CULTURED DEXTROSE (MOLD INHIBITOR), MOLASSES, GUAR GUM, XANTHAN GUM, ENZYME.
CONTAINS WHEAT."
https://www.traderjoes.com/home/products/pdp/corn-wheat-tortillas-081246,Corn & Wheat Tortillas,corn-wheat-tortillas-081246,"WATER, YELLOW & WHITE CORN FLOUR (TRACE OF LIME), WHEAT FLOUR, WHEAT GLUTEN, CONTAINS 2% OR LESS OF SUNFLOWER OIL, SEA SALT, SUGAR, DISTILLED WHITE VINEGAR, CULTURED WHEAT FLOUR (TO PRESERVE), CULTURED DEXTROSE (TO PRESERVE).
CONTAINS WHEAT."
https://www.traderjoes.com/home/products/pdp/cinnamon-buns-080716,Cinnamon Buns,cinnamon-buns-080716,"SUGAR, WHEAT FLOUR, WATER, PALM OIL, CANOLA OIL, YEAST, MILK, MODIFIED POTATO STARCH, CINNAMON, MOLASSES, WHEY POWDER, EGG POWDER, CREAM, SKIM MILK POWDER, DEXTROSE, WHEAT GLUTEN, SALT, POTATO STARCH, PECTIN, MONO- AND DIGLYCERIDES OF FATTY ACIDS, DISODIUM DIPHOSPHATE, CITRUS FIBER, CORN FLOUR, SODIUM CARBONATE, COCONUT OIL, CANOLA LECITHIN, CITRIC ACID (ACIDIFIER), SODIUM ALGINATE, NATURAL FLAVOR, GLUCOSE SYRUP, SUNFLOWER LECITHIN, BETA-CAROTENE (COLOR), LOCUST BEAN GUM, MILK PROTEIN ISOLATE, GUAR GUM, ASCORBIC ACID (DOUGH CONDITIONER), ENZYME, VITAMIN A PALMITATE, CHEESE CULTURE.
CONTAINS MILK, EGG, WHEAT.
MAY CONTAIN ALMOND, HAZELNUT, WALNUT, COCONUT."
https://www.traderjoes.com/home/products/pdp/organic-low-sodium-vegetable-broth-098551,Organic Low Sodium Vegetable Broth,organic-low-sodium-vegetable-broth-098551,"WATER, ORGANIC CARROT JUICE CONCENTRATE, ORGANIC TOMATO PASTE, ORGANIC CELERY JUICE CONCENTRATE, ORGANIC ONION POWDER, ORGANIC APPLE CIDER VINEGAR, ORGANIC DEXTROSE, ORGANIC GARLIC, ORGANIC LEEK JUICE CONCENTRATE, ORGANIC ONION JUICE CONCENTRATE, ORGANIC SPICES, ORGANIC EXTRA VIRGIN OLIVE OIL."
https://www.traderjoes.com/home/products/pdp/pumpkin-cream-cheese-spread-051533,Pumpkin Cream Cheese Spread,pumpkin-cream-cheese-spread-051533,"PASTEURIZED CULTURED CREAM
PREPARED PUMPKIN
PASTEURIZED CULTURED SKIM MILK
BROWN SUGAR
SUGAR
CINNAMON
SALT
STABILIZERS (XANTHAN, LOCUST BEAN, AND GUAR GUM)
CONTAINS MILK."
